date,checkins,unique_ind,unique_loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,casual_contacts,hide_large,hide_small,Johor_checkins,Kedah_checkins,Kelantan_checkins,Melaka_checkins,Negeri Sembilan_checkins,Pahang_checkins,Perak_checkins,Perlis_checkins,Pulau Pinang_checkins,Sabah_checkins,Sarawak_checkins,Selangor_checkins,Terengganu_checkins,W.P. KualaLumpur_checkins,W.P. Labuan_checkins,W.P. Putrajaya_checkins,Johor_unique_ind,Kedah_unique_ind,Kelantan_unique_ind,Melaka_unique_ind,Negeri Sembilan_unique_ind,Pahang_unique_ind,Perak_unique_ind,Perlis_unique_ind,Pulau Pinang_unique_ind,Sabah_unique_ind,Sarawak_unique_ind,Selangor_unique_ind,Terengganu_unique_ind,W.P. KualaLumpur_unique_ind,W.P. Labuan_unique_ind,W.P. Putrajaya_unique_ind,Johor_unique_loc,Kedah_unique_loc,Kelantan_unique_loc,Melaka_unique_loc,Negeri Sembilan_unique_loc,Pahang_unique_loc,Perak_unique_loc,Perlis_unique_loc,Pulau Pinang_unique_loc,Sabah_unique_loc,Sarawak_unique_loc,Selangor_unique_loc,Terengganu_unique_loc,W.P. KualaLumpur_unique_loc,W.P. Labuan_unique_loc,W.P. Putrajaya_unique_loc
2020-12-01,17492265,6614474,630363,6395,4052,2611,2005,1660,1574,1371,1421,1736,3316,7961,25196,52503,130025,260459,487275,589956,622652,607775,601831,622364,615467,627128,669364,801754,831169,848726,696972,649743,613763,587982,549878,528499,497217,541013,591255,630124,602570,533079,499436,484926,400220,287114,165690,95964,58921,34247,15906,1472,5,1552,10497,1153,1472,0,0,0,51,31,1099,39,17,34,31,630,335,83,51,26,9,4,,,,,,,,,,,1996696,654634,186507,544619,559390,628093,1073601,149180,1192308,740636,1287449,3926511,232768,3426041,53217,177083,868521,341620,108035,241854,266899,277410,477057,96122,534058,308227,490577,1888361,125760,1538584,22809,104171,81635,32760,16298,21458,22749,26868,49739,7814,43889,31463,37417,124858,14836,86205,1784,2334
2020-12-02,17695726,6667261,648752,6615,3957,2682,1974,1721,1581,1438,1480,1867,3378,8253,26497,56792,139687,277312,508220,612710,645687,613719,601815,619992,617798,631502,674280,811867,837592,851573,696530,652126,618349,595056,556019,527820,502556,550235,596717,639260,611787,539724,503532,483593,397703,287540,165463,96497,60809,35813,16608,851,4,658,10688,444,851,0,0,0,80,42,663,59,26,54,42,286,187,127,63,45,12,2,,,,,,,,,,,1975256,688360,201342,545887,561590,630934,1085104,158866,1204862,758731,1324152,3974328,217523,3455908,53562,177019,864635,353075,113792,242475,268039,278719,480864,99727,537274,312903,500135,1903749,119675,1544722,22838,104352,83484,34460,17147,21881,23278,27562,50358,8259,45164,32825,38035,129248,14721,89499,1787,2420
2020-12-03,17063123,6549583,645604,6920,3943,2936,2150,1755,1490,1499,1590,1842,3500,8169,25687,55644,135933,268926,487973,584597,610616,589348,586045,608647,604825,617892,659293,792076,818396,836594,682480,636611,594575,568155,538281,507600,475773,515214,556486,589587,570865,521526,492463,468638,381225,275301,159941,95561,61119,36086,17350,1075,3,948,10804,648,1075,0,0,0,83,43,826,52,30,53,43,387,252,115,72,38,12,2,,,,,,,,,,,1870470,674565,164364,527563,534832,627312,1063208,158714,1129316,743625,1274706,3876525,168587,3373169,52735,173618,841031,348146,97043,237907,262182,279800,478124,100259,521393,310332,492475,1880515,99458,1526686,22721,101719,83370,34481,15023,22072,23168,27556,50521,8228,44934,32972,37813,130314,12130,90411,1772,2418
2020-12-04,18350879,6803979,622383,7404,4759,3064,2223,1791,1699,1543,1614,2115,3511,8441,27177,57741,136834,269189,483225,586855,625518,608907,608809,635336,631601,644903,683592,825833,923503,884577,689087,647664,620169,607824,582090,555542,522614,559748,603054,645704,636042,587843,562922,552979,464684,347722,211850,128239,81293,48715,23330,1141,3,1144,10801,666,1141,0,0,0,91,56,744,71,35,56,56,348,213,119,64,50,15,6,,,,,,,,,,,2031469,674162,164019,582972,594932,677057,1059563,169860,1236718,769607,1350621,4187530,189604,3718459,52603,200829,883179,343898,98726,256683,284372,296630,483833,105729,550869,317892,509621,1983724,109294,1627479,22944,113996,80241,25462,9428,21979,23308,26916,49578,8017,45157,32980,38195,130590,7526,91031,1774,2423
2020-12-05,19711082,6845366,573132,9520,5907,3871,2662,2181,1769,1727,1718,2237,3696,8345,25391,53247,121701,223646,373478,470743,537549,589369,627339,695612,710804,743547,780108,852867,843240,845548,792314,771881,749059,731588,706541,692332,659717,681027,704550,726066,699774,638364,607971,597757,501530,375434,229508,138917,89817,53057,26056,1123,5,1143,10777,638,1123,0,0,0,74,73,901,71,29,45,73,362,321,122,96,54,13,4,,,,,,,,,,,2210008,731091,207482,634724,627448,682223,1138102,164804,1351212,777053,1437010,4595822,240941,3874221,53935,212102,905459,363471,116080,267041,285249,290579,496653,99061,555440,307847,504648,2048138,127297,1619744,22791,117401,76118,31046,15558,19794,21028,24066,46280,7127,40164,29022,32914,112326,12566,75347,1502,1757
2020-12-06,18446273,6516281,439135,10576,6160,4108,2880,2135,1722,1547,1616,2126,3087,7001,21496,41632,88940,162494,279722,373038,449743,528517,598322,683071,715697,750685,783420,816496,820549,813084,758420,752518,738206,724723,696985,671664,641708,659220,684291,696475,659566,591162,553031,525195,425285,305157,175093,100901,63201,36418,17190,1335,3,1069,11040,870,1335,0,0,0,71,39,1088,64,24,47,39,498,366,144,80,47,16,1,,,,,,,,,,,2212105,742227,219001,581318,567868,615515,1015143,136478,1196844,730460,1426606,4258686,247572,3551865,46252,223550,900358,370282,123206,248213,263960,270257,461134,82688,509617,288743,497969,1919658,132720,1525309,20304,124585,63536,31436,17434,14196,15228,17521,31829,4815,27436,21150,24109,79280,14878,55158,1080,1495
2020-12-07,17691454,6738929,643921,6427,3917,2559,1972,1601,1385,1216,1415,1917,3390,7470,25665,54740,130902,261962,494276,595631,628253,606168,601730,628089,627310,643445,686982,820224,855972,878133,720919,672652,633596,598233,535560,492469,470668,525449,578041,615227,596581,543380,509581,500643,417229,303309,177030,104886,66033,38675,18542,1600,3,1033,11605,1038,1600,0,0,0,74,50,1306,88,32,42,50,425,491,272,118,62,20,6,,,,,,,,,,,1972647,689591,218873,547029,578978,655591,1107823,167015,1263645,773999,1267549,3910991,233131,3386392,53894,194620,873792,359572,122876,245575,282711,291502,503464,105635,562739,322323,491913,1912166,127143,1548177,23662,112877,82788,34078,17617,21697,22959,27521,49655,8292,45308,33091,37133,127963,14809,88815,1775,2529
2020-12-08,18024878,6805439,657047,6677,3905,2774,1962,1635,1435,1362,1548,2136,3573,8292,26418,58595,140196,278144,517488,624352,651995,622174,610764,634217,628392,639859,686594,826354,859421,879312,715444,668002,630706,602185,564621,534002,500491,538806,582586,621206,605829,551180,521754,514082,424398,310028,181445,109545,68386,41109,19499,1012,7,1750,10863,444,1012,0,0,0,75,35,839,55,33,42,35,367,276,136,60,38,14,3,,,,,,,,,,,1998490,681741,212496,540064,578960,658988,1115626,166616,1260515,782188,1257341,4069890,222925,3539330,54004,196698,878407,357260,120892,245020,282737,293817,506744,106047,565600,322558,488737,1962738,123002,1586870,23481,114585,84396,34133,17401,21880,23379,28024,50722,8375,46089,33655,37752,131822,14545,91837,1880,2526
2020-12-09,18082383,6786580,661302,7293,4150,2768,2089,1645,1478,1438,1607,2213,3677,8521,26391,59880,143102,285569,528613,638660,663422,630118,618241,637805,631047,643129,689891,832388,866572,882470,715880,665295,628573,595813,554264,521086,490534,537825,592864,631983,602236,538863,511082,504799,428687,313172,187088,112736,72031,43041,20354,959,6,1068,10749,535,959,0,0,0,64,35,674,61,28,36,35,269,237,104,64,40,19,2,,,,,,,,,,,1987412,687783,219745,547770,572301,664780,1128435,163946,1286818,799183,1287249,4055363,232437,3497276,53798,192952,871995,359440,123894,247009,280271,294904,509178,103874,570675,325907,491454,1946983,126661,1562616,23590,112374,85042,34494,17587,21989,23514,28220,51082,8504,46379,34111,38202,132201,14901,91911,1863,2536
2020-12-10,17730193,6759771,658644,7721,4377,2963,2155,1869,1657,1399,1589,2104,3533,8575,26169,58706,138523,274604,510352,608299,638068,616124,603653,628639,622765,637756,683266,819707,841052,838182,668708,620877,586527,565793,542638,524999,496588,528477,568955,611798,597670,552921,520017,512845,435958,328880,201179,125283,82230,49542,24501,2234,5,1112,11868,1790,2234,0,0,0,79,45,2011,62,37,42,45,1001,724,190,96,43,14,5,,,,,,,,,,,1912930,687416,228916,530931,564855,656881,1079452,169241,1259514,763214,1231304,4033037,238569,3454783,52345,194437,860874,359102,129022,244566,283650,299468,507203,107337,567613,318514,483753,1955389,131004,1567658,23023,112468,84061,34613,17700,22010,23418,28302,50277,8450,46543,33819,37990,132086,14810,91668,1804,2531
